,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał,Punkty_Gospodarze,Zwycięstwa_Gospodarze,Remisy_Gospodarze,Porażki_Gospodarze,Gole_zdobyte_Gospodarze,Gole_stracone_Gospodarze,Avg._posiadanie_Gospodarze,Avg.strzały_Gospodarze,Avg.strzały_celne_Gospodarze,Avg.strzały_niecelne_Gospodarze,Avg.strzały_zablokowane_Gospodarze,Avg.rzuty_rożne_Gospodarze,Avg.spalone_Gospodarze,Avg.obrony_bramkarza_Gospodarze,Avg.faule_Gospodarze,Avg.Żółte_kartki_Gospodarze,Avg.Czerwone_kartki_Gospodarze,%_SFG_Gospodarze,Punkty_Goście,Zwycięstwa_Goście,Remisy_Goście,Porażki_Goście,Gole_zdobyte_Goście,Gole_stracone_Goście,Avg._posiadanie_Goście,Avg.strzały_Goście,Avg.strzały_celne_Goście,Avg.strzały_niecelne_Goście,Avg.strzały_zablokowane_Goście,Avg.rzuty_rożne_Goście,Avg.spalone_Goście,Avg.obrony_bramkarza_Goście,Avg.faule_Goście,Avg.Żółte_kartki_Goście,Avg.Czerwone_kartki_Goście,%_SFG_Goście
954,24 Kwi 2022,12:30,21/22,Lech Poznań,3,1,Stal Mielec,1.2,6.89,15.75,Wygrali gospodarze,37.0,9.0,10.0,11.0,39.0,38.0,59.0,15.6,4.97,5.83,4.8,6.67,1.5,3.13,13.37,1.77,0.0,35.9,29.0,6.0,11.0,13.0,31.0,47.0,45.0,11.9,4.53,4.57,2.8,4.77,1.5,3.3,13.07,2.13,0.07,51.61
955,23 Kwi 2022,20:00,21/22,Lechia Gdańsk,2,0,Warta Poznań,2.13,3.25,3.78,Wygrali gospodarze,42.0,12.0,6.0,12.0,40.0,37.0,50.0,13.07,4.03,5.3,3.73,5.47,1.83,3.73,16.03,2.73,0.17,47.5,43.0,13.0,4.0,13.0,33.0,32.0,44.0,10.07,3.13,4.37,2.57,4.53,1.6,2.77,13.9,1.47,0.07,21.21
956,23 Kwi 2022,17:30,21/22,Piast Gliwice,2,1,Jagiellonia,1.89,3.48,4.5,Wygrali gospodarze,42.0,11.0,9.0,10.0,39.0,32.0,51.0,13.13,4.37,5.57,3.2,4.5,1.83,3.13,12.7,1.8,0.0,30.77,37.0,10.0,7.0,13.0,39.0,48.0,48.0,11.53,4.2,4.57,2.77,4.37,1.63,3.73,14.9,2.33,0.17,30.77
957,23 Kwi 2022,15:00,21/22,Śląsk Wrocław,0,4,Termalica Bruk-Bet Nieciecza,1.77,3.72,4.8,Wygrali goście,43.0,11.0,10.0,9.0,36.0,32.0,47.0,12.07,4.13,5.2,2.73,4.6,1.53,3.37,15.33,1.83,0.1,41.67,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
958,22 Kwi 2022,20:30,21/22,Zagłębie Lubin,2,4,Górnik Zabrze,2.35,3.48,3.04,Wygrali goście,41.0,11.0,8.0,11.0,38.0,40.0,51.0,11.87,3.97,5.03,2.87,4.9,1.9,3.37,13.27,2.13,0.1,55.26,37.0,10.0,7.0,13.0,31.0,33.0,51.0,14.1,4.8,5.27,4.03,5.63,1.27,2.8,14.17,2.17,0.0,35.48
959,22 Kwi 2022,18:00,21/22,Radomiak Radom,0,1,Cracovia,2.46,3.04,3.24,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,32.0,8.0,13.0,9.0,28.0,32.0,48.0,12.03,3.63,4.67,3.73,4.37,1.67,3.43,15.8,2.5,0.17,50.0
960,20 Kwi 2022,20:30,21/22,Pogoń Szczecin,1,2,Raków Częstochowa,2.48,3.07,3.18,Wygrali goście,52.0,15.0,7.0,8.0,36.0,23.0,55.0,12.93,4.5,5.2,3.23,6.2,2.1,2.47,13.7,2.07,0.07,44.44,59.0,17.0,8.0,5.0,46.0,25.0,47.0,13.1,5.03,5.03,3.03,5.97,1.57,2.53,14.77,1.93,0.07,45.65
961,20 Kwi 2022,18:00,21/22,Lech Poznań,3,0,Górnik Łęczna,1.18,7.3,18.3,Wygrali gospodarze,37.0,9.0,10.0,11.0,39.0,38.0,59.0,15.6,4.97,5.83,4.8,6.67,1.5,3.13,13.37,1.77,0.0,35.9,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
962,18 Kwi 2022,20:00,21/22,Legia Warszawa,0,1,Piast Gliwice,2.22,3.1,3.72,Wygrali goście,64.0,19.0,7.0,4.0,48.0,24.0,58.0,15.33,5.23,6.0,4.1,6.13,1.57,2.3,14.07,1.83,0.03,25.0,42.0,11.0,9.0,10.0,39.0,32.0,51.0,13.13,4.37,5.57,3.2,4.5,1.83,3.13,12.7,1.8,0.0,30.77
963,18 Kwi 2022,17:30,21/22,Górnik Zabrze,1,3,Lechia Gdańsk,2.55,3.47,2.77,Wygrali goście,37.0,10.0,7.0,13.0,31.0,33.0,51.0,14.1,4.8,5.27,4.03,5.63,1.27,2.8,14.17,2.17,0.0,35.48,42.0,12.0,6.0,12.0,40.0,37.0,50.0,13.07,4.03,5.3,3.73,5.47,1.83,3.73,16.03,2.73,0.17,47.5
964,18 Kwi 2022,15:00,21/22,Śląsk Wrocław,1,1,Wisła Kraków,2.36,3.29,3.2,Remis,43.0,11.0,10.0,9.0,36.0,32.0,47.0,12.07,4.13,5.2,2.73,4.6,1.53,3.37,15.33,1.83,0.1,41.67,33.0,8.0,9.0,13.0,39.0,42.0,50.0,12.8,4.2,5.2,3.4,6.13,2.0,3.53,15.2,2.67,0.03,35.9
