,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
271,16 Sie 2024,18:00,24/25,Puszcza Niepołomice,4,1,Lechia Gdańsk,2.26,3.44,3.14,Wygrali gospodarze
272,12 Sie 2024,19:00,24/25,Piast Gliwice,2,2,GKS Katowice,1.82,3.4,4.88,Remis
273,11 Sie 2024,20:15,24/25,Widzew Łódź,0,0,Śląsk Wrocław,2.22,3.28,3.41,Remis
274,11 Sie 2024,17:30,24/25,Puszcza Niepołomice,2,2,Legia Warszawa,4.45,3.66,1.8,Remis
275,11 Sie 2024,14:45,24/25,Lechia Gdańsk,1,1,Zagłębie Lubin,2.61,3.31,2.72,Remis
276,10 Sie 2024,20:15,24/25,Pogoń Szczecin,1,0,Stal Mielec,1.44,4.95,6.43,Wygrali gospodarze
277,10 Sie 2024,17:30,24/25,Korona Kielce,0,2,Cracovia,2.39,3.11,3.21,Wygrali goście
278,09 Sie 2024,20:30,24/25,Raków Częstochowa,0,0,Lech Poznań,1.78,3.69,4.52,Remis
279,09 Sie 2024,18:00,24/25,Radomiak Radom,1,2,Górnik Zabrze,2.26,3.52,3.15,Wygrali goście
280,05 Sie 2024,19:00,24/25,Cracovia,1,3,Widzew Łódź,2.39,3.41,2.93,Wygrali goście
281,04 Sie 2024,20:15,24/25,Legia Warszawa,1,2,Piast Gliwice,2.08,3.2,3.99,Wygrali goście
282,04 Sie 2024,14:45,24/25,Motor Lublin,1,1,Korona Kielce,2.47,3.19,2.99,Remis
283,03 Sie 2024,20:15,24/25,Lech Poznań,3,1,Lechia Gdańsk,1.44,4.81,6.76,Wygrali gospodarze
284,03 Sie 2024,17:30,24/25,Jagiellonia Białystok,2,0,Stal Mielec,1.55,4.49,5.46,Wygrali gospodarze
285,03 Sie 2024,14:45,24/25,GKS Katowice,0,1,Raków Częstochowa,4.62,3.8,1.74,Wygrali goście
286,02 Sie 2024,20:30,24/25,Górnik Zabrze,1,0,Pogoń Szczecin,3.05,3.73,2.19,Wygrali gospodarze
287,02 Sie 2024,18:00,24/25,Zagłębie Lubin,1,0,Puszcza Niepołomice,2.01,3.81,3.51,Wygrali gospodarze
288,29 Lip 2024,19:00,24/25,Raków Częstochowa,0,1,Cracovia,1.45,4.51,7.34,Wygrali goście
289,28 Lip 2024,20:15,24/25,Korona Kielce,0,1,Legia Warszawa,4.09,3.39,1.96,Wygrali goście
290,28 Lip 2024,17:30,24/25,Piast Gliwice,2,0,Śląsk Wrocław,1.74,3.46,5.54,Wygrali gospodarze
291,28 Lip 2024,14:45,24/25,Zagłębie Lubin,2,2,Pogoń Szczecin,3.03,3.56,2.28,Remis
292,27 Lip 2024,20:15,24/25,Widzew Łódź,2,1,Lech Poznań,2.9,3.55,2.35,Wygrali gospodarze
293,27 Lip 2024,17:30,24/25,Radomiak Radom,2,3,Jagiellonia Białystok,3.01,3.52,2.3,Wygrali goście
294,27 Lip 2024,14:45,24/25,Stal Mielec,0,1,GKS Katowice,2.35,3.34,3.06,Wygrali goście
295,26 Lip 2024,20:30,24/25,Lechia Gdańsk,0,2,Motor Lublin,1.82,3.89,4.17,Wygrali goście
296,26 Lip 2024,18:00,24/25,Puszcza Niepołomice,2,2,Górnik Zabrze,2.44,3.31,2.94,Remis
297,22 Lip 2024,19:00,24/25,Stal Mielec,1,1,Widzew Łódź,2.73,3.47,2.52,Remis
298,21 Lip 2024,20:15,24/25,Motor Lublin,0,2,Raków Częstochowa,5.4,4.21,1.59,Wygrali goście
299,21 Lip 2024,17:30,24/25,Lech Poznań,2,0,Górnik Zabrze,1.7,4.24,4.44,Wygrali gospodarze
300,21 Lip 2024,14:45,24/25,Cracovia,1,1,Piast Gliwice,2.73,3.05,2.86,Remis
301,20 Lip 2024,20:15,24/25,Legia Warszawa,2,0,Zagłębie Lubin,1.61,4.25,5.34,Wygrali gospodarze
302,20 Lip 2024,17:30,24/25,Pogoń Szczecin,3,0,Korona Kielce,1.56,4.26,5.84,Wygrali gospodarze
303,20 Lip 2024,14:45,24/25,GKS Katowice,1,2,Radomiak Radom,2.71,3.35,2.62,Wygrali goście
304,19 Lip 2024,20:30,24/25,Śląsk Wrocław,1,1,Lechia Gdańsk,1.97,3.63,3.89,Remis
305,19 Lip 2024,18:00,24/25,Jagiellonia Białystok,2,0,Puszcza Niepołomice,1.48,4.68,6.29,Wygrali gospodarze
306,25 Maj 2024,17:30,23/24,Jagiellonia Białystok,3,0,Warta Poznań,1.42,5,7.05,Wygrali gospodarze
307,25 Maj 2024,17:30,23/24,Lech Poznań,1,2,Korona Kielce,2.15,3.89,3.09,Wygrali goście
308,25 Maj 2024,17:30,23/24,Legia Warszawa,2,1,Zagłębie Lubin,1.62,4.38,4.98,Wygrali gospodarze
309,25 Maj 2024,17:30,23/24,ŁKS Łódź,3,2,Stal Mielec,2.42,3.64,2.75,Wygrali gospodarze
310,25 Maj 2024,17:30,23/24,Pogoń Szczecin,1,0,Górnik Zabrze,1.65,4.47,4.66,Wygrali gospodarze
311,25 Maj 2024,17:30,23/24,Puszcza Niepołomice,1,0,Piast Gliwice,2.72,3.12,2.74,Wygrali gospodarze
312,25 Maj 2024,17:30,23/24,Radomiak Radom,1,3,Widzew Łódź,2.24,3.4,3.23,Wygrali goście
313,25 Maj 2024,17:30,23/24,Raków Częstochowa,1,2,Śląsk Wrocław,2.31,3.67,2.91,Wygrali goście
314,25 Maj 2024,17:30,23/24,Ruch Chorzów,2,0,Cracovia,2.8,3.66,2.4,Wygrali gospodarze
315,20 Maj 2024,19:00,23/24,Zagłębie Lubin,2,1,ŁKS Łódź,1.46,4.89,6.38,Wygrali gospodarze
316,19 Maj 2024,17:30,23/24,Widzew Łódź,1,1,Lech Poznań,4.35,3.92,1.79,Remis
317,19 Maj 2024,15:00,23/24,Warta Poznań,0,1,Legia Warszawa,4.9,3.59,1.78,Wygrali goście
318,19 Maj 2024,12:30,23/24,Cracovia,2,0,Raków Częstochowa,3.44,3.58,2.11,Wygrali gospodarze
319,18 Maj 2024,20:00,23/24,Piast Gliwice,1,1,Jagiellonia Białystok,2.69,3.69,2.47,Remis
320,18 Maj 2024,17:30,23/24,Śląsk Wrocław,2,0,Radomiak Radom,1.74,3.72,4.87,Wygrali gospodarze
321,18 Maj 2024,15:00,23/24,Korona Kielce,2,0,Ruch Chorzów,1.74,4.09,4.42,Wygrali gospodarze
322,17 Maj 2024,20:30,23/24,Górnik Zabrze,1,1,Puszcza Niepołomice,1.76,3.95,4.38,Remis
323,17 Maj 2024,18:00,23/24,Stal Mielec,0,0,Pogoń Szczecin,4.04,4.28,1.78,Remis
324,13 Maj 2024,19:00,23/24,Radomiak Radom,0,2,Ruch Chorzów,2.13,3.42,3.53,Wygrali goście
325,12 Maj 2024,17:30,23/24,Lech Poznań,1,2,Legia Warszawa,2.39,3.28,3.16,Wygrali goście
326,12 Maj 2024,15:00,23/24,Widzew Łódź,1,3,Zagłębie Lubin,2.23,3.75,2.99,Wygrali goście
327,12 Maj 2024,12:30,23/24,Puszcza Niepołomice,1,0,Warta Poznań,2.45,3.04,3.21,Wygrali gospodarze
328,11 Maj 2024,20:00,23/24,Raków Częstochowa,2,1,Pogoń Szczecin,1.65,4.19,5.01,Wygrali gospodarze
